event_date,event_country,event_name,player_place,prize_usd,player_id,source,last_updated
24-Jun-15,United States,"$ 1,500 Pot-Limit Omaha Hi-Low Split-8 or Better (Event #49)46th World Series of Poker - WSOP 2015, Las Vegas",17th,8813,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
15-Jun-15,United States,"$ 1,500 2-7 Triple Draw Lowball (Limit) (Event #33)46th World Series of Poker - WSOP 2015, Las Vegas",39th,2592,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
12-Jun-15,United States,"$ 1,500 No Limit Hold'em Monster Stack (Event #28)46th World Series of Poker - WSOP 2015, Las Vegas",413th,4563,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
24-Mar-15,Malta,"€ 2,000 + 200 #41 No Limit Hold'emEuropean Poker Tour - EPT Malta, Portomaso",14th,8796,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
11-Dec-14,Czech Republic,"€ 5,000 + 300 #22 No Limit Hold'em EPT Main EventEuropean Poker Tour - EPT Prague, Prague",14th,59984,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
21-Sep-14,United States,"WPT Monster Invitational Event World Poker Tour - WPT Foundation Monster Invitational, Atlantic City",3rd,,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
10-Jun-14,United States,"$ 2,500 Omaha/Seven Card Stud Hi/Lo (Event #25)45th World Series of Poker - WSOP 2014, Las Vegas",38th,5517,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
27-May-14,United States,"$ 25,000 No Limit Hold'em - Mixed Max (Event #2)45th World Series of Poker - WSOP 2014, Las Vegas",1st,871148,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
16-Apr-14,Italy,"€ 2,000 + 200 No Limit Hold'emEuropean Poker Tour - EPT Sanremo, Sanremo",28th,4764,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
12-Apr-14,Italy,"€ 4,600 + 300 Pot Limit Omaha 8 handedEuropean Poker Tour - EPT Sanremo, Sanremo",2nd,27917,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
11-Jan-14,Bahamas,"$ 25,000 + 500 No Limit Hold'em High RollerPokerStars Caribbean Adventure - PCA 2014, Paradise Island",3rd,607580,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
7-Jan-14,Bahamas,"$ 10,000 + 300 No Limit Hold'em - Main EventPokerStars Caribbean Adventure - PCA 2014, Paradise Island",42nd,32000,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
5-Jan-14,Bahamas,"$ 98,000 + 2,000 No Limit Hold'em - Super High RollerPokerStars Caribbean Adventure - PCA 2014, Paradise Island",3rd,760640,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
16-Dec-13,Czech Republic,"€ 10,000 + 300 No Limit Hold'em - EPT High RollerEuropean Poker Tour - EPT Prague, Prague",7th,88387,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
9-Dec-13,Czech Republic,"€ 5,000 + 300 Pot Limit Omaha ChampsEuropean Poker Tour - EPT Prague, Prague",1st,137994,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
20-Nov-13,Canada,"$ 125,000 PartyPoker Premier League VIIPlayground Poker Fall Classic 2013, Kahnawake",12th,18000,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
5-Oct-13,England,"£ 2,000 + 200 No Limit Hold'em - UKIPT High RollerEuropean Poker Tour - EPT London, London",1st,109443,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
15-Sep-13,United States,"$ 3,300 + 200 No Limit Hold'em - Main EventBorgata Poker Open 2013, Atlantic City",2nd,492569,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
8-Jun-13,United States,"$ 1,500 No Limit Hold'em (Event #17)44th World Series of Poker - WSOP 2013, Las Vegas",60th,7218,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
10-May-13,Monaco,"€ 25,000 + 500 No Limit Hold'em - High RollerEuropean Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",4th,380656,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
8-May-13,Monaco,"€ 1,000 + 100 Pot Limit Omaha Five Card Hi/LoEuropean Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",5th,6543,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
12-Jan-13,Bahamas,"$ 25,000 + 500 No Limit Hold'em - High Roller (Event #30)PokerStars Caribbean Adventure - PCA 2013, Paradise Island",1st,1424420,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
20-Oct-12,United States,"$ 5,000 + 180 No Limit Hold'emFesta Al Lago, Las Vegas",1st,90693,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
15-Oct-12,United States,"$ 1,000 + 80 No Limit Hold'emFesta Al Lago, Las Vegas",2nd,12717,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
24-Sep-12,France,"€ 5,000 + 300 Pot Limit Omaha (Event #3)World Series Of Poker Europe - WSOPE 2012, Cannes",12th,12954,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
7-Jul-12,United States,"$ 10,000 World Championship - No Limit Hold'em (Event #61)43rd World Series of Poker - WSOP 2012, Las Vegas",73rd,88070,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
29-Jun-12,United States,"$ 2,500 10 Game - Six Handed (Event #52)43rd World Series of Poker - WSOP 2012, Las Vegas",1st,244259,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
25-Jun-12,United States,"$ 2,500 No Limit Hold'em (Event #46)43rd World Series of Poker - WSOP 2012, Las Vegas",24th,20327,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
5-Jun-12,United States,"$ 10,000 No Limit Hold'em - Heads-Up (Event #12)43rd World Series of Poker - WSOP 2012, Las Vegas",16th,20674,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
28-May-12,United States,"$ 1,500 No Limit Hold'em (Event #2)43rd World Series of Poker - WSOP 2012, Las Vegas",4th,161345,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
16-Apr-12,Germany,"€ 5,000 + 300 No Limit Hold'em - Main EventEuropean Poker Tour - EPT Berlin, Berlin",48th,16995,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
26-Feb-12,United States,"$ 5,100 No Limit Hold'em - Heads-Up Championship2012 L.A. Poker Classic, Los Angeles",2nd,31040,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
22-Feb-12,United States,"$ 5,100 No Limit Hold'em2012 L.A. Poker Classic, Los Angeles",1st,140295,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
6-Dec-11,United States,"$ 10,000 + 300 No Limit Hold'em - Championship Event2011 Doyle Brunson Five Diamond World Poker Classic, Las Vegas",3rd,338351,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
22-Nov-11,Wales,"$ 10,000 Heat 4Coral Late Night Poker 2011, Cardiff",6th,,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
21-Oct-11,Italy,"€ 4,600 + 300 No Limit Hold'em - Main EventEuropean Poker Tour - EPT Sanremo, Sanremo",40th,19302,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
11-Oct-11,France,"€ 3,000 + 200 No Limit Hold'em ShootoutWorld Series Of Poker Europe - WSOPE 2011, Cannes",28th,9235,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
8-Oct-11,France,"€ 1,000 + 90 No Limit Hold'emWorld Series Of Poker Europe - WSOPE 2011, Cannes",32nd,4529,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
4-Oct-11,England,"£ 1,000 + 100 No Limit Hold'em/Pot Limit OmahaEuropean Poker Tour - EPT London, London",7th,7112,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
18-Sep-11,United States,"$ 3,300 + 200 No Limit Hold'em - Championship Event2011 Borgata Poker Open, Atlantic City",23rd,18868,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
27-Aug-11,Spain,"€ 5,000 + 300 No Limit Hold'em - Main EventEuropean Poker Tour - EPT Barcelona, Barcelona",84th,14406,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
5-Aug-11,United States,"$ 1,500 No Limit Hold'em - Pro-Am Event2011-12 Epic Poker League - Event 1, Las Vegas",12th,3170,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
20-Jun-11,United States,"$ 5,000 Pot Limit Omaha - Six Handed42nd World Series of Poker - WSOP 2011, Las Vegas",18th,23519,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
27-Apr-11,Italy,"€ 5,000 + 300 No Limit Hold'em - Main EventEuropean Poker Tour - EPT Sanremo, Sanremo",136th,10931,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
9-Apr-11,United States,"$ 5,000 No Limit Hold'em - Main EventNorth American Poker Tour - NAPT Uncasville, Uncasville",1st,450000,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
3-Mar-11,United States,"$ 25,000 No Limit Hold'em NBC National Heads-Up Championship 2011, Las Vegas",8th,75000,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
14-Jan-11,Bahamas,"World Cup of Poker VII PokerStars Caribbean Adventure - PCA 2011, Paradise Island",8th,,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
2-Oct-10,England,"£ 20,000 + 500 No Limit Hold'em - High Roller EventEuropean Poker Tour - EPT London, London",4th,226910,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
2-Sep-10,France,"€ 7,750 + 750 No Limit Hold'em - Main EventPartouche Poker Tour - PPT Cannes, Cannes",1st,1823430,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
14-Aug-10,Estonia,"€ 3,000 + 200 No Limit Hold'em - Heads-UpEuropean Poker Tour - EPT Tallinn, Tallinn",4th,15110,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
5-Jul-10,United States,"$ 10,000 World Championship - No Limit Hold'em41st World Series of Poker - WSOP 2010, Las Vegas",476th,27519,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
7-Apr-10,United States,"$ 4,700 + 300 No Limit Hold'em - Main EventNorth American Poker Tour - PokerStars NAPT Mohegan Sun, Uncasville",1st,750000,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
26-Jan-10,Australia,"A$ 5,000 + 300 Heads-Up Championship2010 Aussie Millions Poker Championship, Melbourne",7th,14421,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
14-Jan-10,Australia,"A$ 1,000 + 100 No Limit Hold'em - Opening Event2010 Aussie Millions Poker Championship, Melbourne",14th,8440,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
1-Nov-09,United States,"$ 2,325 + 175 No Limit Hold'em2009 World Poker Finals, Mashantucket",3rd,28642,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
31-Oct-09,United States,"$ 350 + 50 No Limit Hold'em - Ladies Event2009 World Poker Finals, Mashantucket",19th,1013,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
25-Oct-09,United States,"$ 1,375 + 125 No Limit Hold'em2009 World Poker Finals, Mashantucket",1st,74224,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
1-Nov-08,United States,"$ 1,850 + 150 No Limit Hold'em2008 World Poker Finals, Mashantucket",1st,115000,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
13-Jun-08,United States,"$ 10,000 World Championship Heads Up No Limit Hold'em39th World Series of Poker - WSOP 2008, Las Vegas",3rd,108288,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
10-Jun-08,United States,"$ 1,500 Pot Limit Omaha39th World Series of Poker - WSOP 2008, Las Vegas",1st,227933,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
7-Jun-08,United States,"$ 2,500 No Limit Hold'em39th World Series of Poker - WSOP 2008, Las Vegas",34th,14138,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
13-Apr-08,United States,"$ 1,500 + 90 World Poker Tour - Ladies ChampionshipWorld Poker Tour - WPT World Championship, Las Vegas",2nd,40815,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
10-Feb-08,United States,"$ 300 + 35 No Limit Hold'em2008 L.A. Poker Classic, Los Angeles",27th,4538,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
7-Feb-08,United States,"$ 1,500 + 85 No Limit Hold'em2008 L.A. Poker Classic, Los Angeles",15th,3365,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
2-Feb-08,United States,"$ 1,000 + 65 No Limit Hold'em - World Poker Tour Ladies2008 L.A. Poker Classic, Los Angeles",1st,26500,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
19-Jun-07,United States,"$ 5,000 World Championship Heads Up No Limit Hold'em38th World Series of Poker - WSOP 2007, Las Vegas",3rd,128968,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
10-Jun-07,United States,"$ 1,000 World Championship Ladies Event No Limit Hold'em38th World Series of Poker - WSOP 2007, Las Vegas",8th,20480,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
16-Jul-06,United States,"$ 2,000 No Limit Hold'em Shootout37th World Series of Poker - WSOP 2006, Las Vegas",77th,4805,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
1-Jul-06,United States,"$ 2,000 No Limit Hold'em37th World Series of Poker - WSOP 2006, Las Vegas",7th,101285,68149,https://pokerdb.thehendonmob.com/player.php?a=r&n=68149,10/19/2021
8-Oct-21,United States,"$ 1,500 No Limit Hold'em - Millionaire Maker (Event #17)52nd World Series of Poker - WSOP 2021, Las Vegas",654th,2625,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
4-Sep-21,United States,"$ 965 + 135 No Limit Hold'em - MSPT Event(Event #9)Venetian DeepStack Extravaganza, Las Vegas",36th,2849,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
30-Jul-21,International,"$ 500 No Limit Hold'em - Summer Saver ONLINE (WSOP Event #31)World Series of Poker - WSOP ONLINE 2021 (US ONLY), Online",132nd,702,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
28-Jul-21,International,"$ 800 No Limit Hold'em - 8-Max Turbo Deepstack Championship ONLINE (WSOP Event #29)World Series of Poker - WSOP ONLINE 2021 (US ONLY), Online",66th,1570,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
15-Jul-21,United States,"$ 600 No Limit Hold'em - MonsterStack (Event #105)DeepStack Championship Poker Series (MSPT, WPT, WPTDS, PokerGO Tour), Las Vegas",35th,2334,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
13-Jul-21,International,"$ 1,000 No Limit Hold'em - Freezeout ONLINE (WSOP Event #13)World Series of Poker - WSOP ONLINE 2021 (US ONLY), Online",11th,5554,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
11-Jul-21,International,"$ 400 No Limit Hold'em - Ultra Deepstack ONLINE (WSOP Event #11)World Series of Poker - WSOP ONLINE 2021 (US ONLY), Online",134th,663,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
6-Jul-21,International,"$ 2,000 No Limit Hold'em - Deepstack ONLINE (WSOP Event #6)World Series of Poker - WSOP ONLINE 2021 (US ONLY), Online",27th,4694,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
2-Jul-21,United States,"$ 4,625 + 375 No Limit Hold'em - WPT Venetian (Event #88)DeepStack Championship Poker Series (MSPT, WPT, WPTDS, PokerGO Tour), Las Vegas",28th,27210,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
2-Jul-21,International,"$ 600 No Limit Hold'em - MonsterStack ONLINE (WSOP Event #2)World Series of Poker - WSOP ONLINE 2021 (US ONLY), Online",12th,5885,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
1-Jul-21,International,"$ 500 No Limit Hold'em - The Big 500 Kickoff ONLINE (WSOP Event #1)World Series of Poker - WSOP ONLINE 2021 (US ONLY), Online",39th,2126,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
25-Jun-21,United States,"$ 10,000 No Limit Hold'em - Wynn MillionsThe Wynn Summer Classic, Las Vegas",116th,27099,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
22-Jun-21,United States,"$ 600 No Limit Hold'em - UltimateStack (Event #71)DeepStack Championship Poker Series (MSPT, WPT, WPTDS, PokerGO Tour), Las Vegas",58th,2081,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
10-Jun-21,United States,"$ 1,600 No Limit Hold'em - MSPT Event (Event #53)DeepStack Championship Poker Series (MSPT, WPT, WPTDS, PokerGO Tour), Las Vegas",20th,22352,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
31-May-21,United States,"$ 550 No Limit Hold'em - BountyThe Wynn Summer Classic, Las Vegas",16th,1283,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
28-May-21,United States,"$ 1,100 No Limit Hold'emThe Wynn Summer Classic, Las Vegas",185th,2303,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
24-May-21,United States,"$ 400 No Limit Hold'em - MonsterStack (Event #21)DeepStack Championship Poker Series (MSPT, WPT, WPTDS, PokerGO Tour), Las Vegas",27th,1243,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
31-Jul-20,International,"$ 1,000 No Limit Hold'em - Championship (Event #31)World Series of Poker - WSOP Online 2020 at WSOP.com, Online",100th,2626,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
17-Jul-20,International,"$ 777 No Limit Hold'em -  (Event #17)World Series of Poker - WSOP Online 2020 at WSOP.com, Online",100th,1354,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
12-Jul-20,International,"$ 500 No Limit Hold'em  - The BIG 500 (Event #12)World Series of Poker - WSOP Online 2020 at WSOP.com, Online",200th,1092,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
10-Jul-20,International,"$ 600 No Limit Hold'em - MonsterStack (Event #10)World Series of Poker - WSOP Online 2020 at WSOP.com, Online",96th,1568,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
2-Jul-20,International,"$ 1,000 No Limit Hold'em - 8-Handed Deepstack (Event #2)World Series of Poker - WSOP Online 2020 at WSOP.com, Online",82nd,1833,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
4-Mar-20,United States,"$ 360 + 40 No Limit Hold'em - Seniors2020 The Wynn Spring Classic, Las Vegas",4th,4002,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
2-Mar-20,United States,"$ 360 + 40 No Limit Hold'em2020 The Wynn Spring Classic, Las Vegas",33rd,899,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
22-Feb-20,United States,"$ 1,700 No Limit Hold'em - Main Event (Event #12)WSOP Circuit - WSOPC Rio Las Vegas, Las Vegas",44th,3736,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
21-Feb-20,United States,"$ 400 No Limit Hold'em - Monster Stack (Event #11)WSOP Circuit - WSOPC Rio Las Vegas, Las Vegas",24th,1349,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
13-Feb-20,United States,"$ 800 No Limit Hold'em - Monster Stack (Event #26)DeepStack Extravaganza I, Las Vegas",24th,2600,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
3-Feb-20,United States,"$ 400 No Limit Hold'em - Double Stack (Event #11)DeepStack Extravaganza I, Las Vegas",41st,858,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
29-Jan-20,United States,"$ 1,100 No Limit Hold'em - MSPT $1 Mill GTD (Event #6)DeepStack Extravaganza I, Las Vegas",23rd,7209,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
9-Jan-20,United States,"$ 1,100 No Limit Hold'em - WPTDeepStacks Main Event2020 Lucky Hearts Poker Open, Hollywood",97th,2650,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
18-Nov-19,United States,"$ 400 No Limit Hold'em -  Seniors (50+) MonsterStack DeepStack Extravaganza IV, Las Vegas",9th,1383,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
9-Sep-19,United States,"$ 280 + 60 No Limit Hold'em - Double Stack (Event #12)DeepStack Extravaganza III, Las Vegas",21st,1045,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
3-Jul-19,United States,"$ 10,000 No Limit Hold'em - WSOP Main Event50th World Series of Poker - WSOP 2019, Las Vegas",652nd,22190,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
26-Jun-19,United States,"$ 400 No Limit Hold'em - Colossus (Event #61)50th World Series of Poker - WSOP 2019, Las Vegas",938th,860,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
25-Jun-19,United States,"$ 600 No Limit Hold'em - Deep Stack Championship (Event #59)50th World Series of Poker - WSOP 2019, Las Vegas",80th,4199,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
23-Jun-19,United States,"$ 800 No Limit Hold'em - Deepstack 8-Handed (Event #53)50th World Series of Poker - WSOP 2019, Las Vegas",190th,2473,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
20-Jun-19,United States,"$ 1,000 No Limit Hold'em - Ladies Championship (Event #47) 50th World Series of Poker - WSOP 2019, Las Vegas",35th,3940,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
7-Jun-19,United States,"$ 1,500 No Limit Hold'em - Millionaire Maker (Event #19)50th World Series of Poker - WSOP 2019, Las Vegas",105th,8893,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
30-May-19,United States,"$ 500 No Limit Hold'em - BIG 50 (Event #3)50th World Series of Poker - WSOP 2019, Las Vegas",1623rd,2079,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
23-May-19,United States,"$ 600 No Limit Hold'em - Double Stack (Event #15)DeepStack Championship Poker Series, Las Vegas",54th,1358,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
2-May-19,United States,"$ 400 No Limit Hold'em - MonsterStack #3May  DeepStack Showdown, Las Vegas",22nd,1606,154,https://pokerdb.thehendonmob.com/player.php?a=r&n=154,10/19/2021
